"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Feb 24 15:50:48 CST 2021","Wed Feb 24 15:51:09 CST 2021","20950","testcase","test_case","Test_Cases","","","test_login","
            用例：登录
        "
"skipped","Wed Feb 24 15:51:09 CST 2021","Wed Feb 24 15:51:09 CST 2021","0","testcase","test_case","Test_Cases","","","test_inputstore","
            用例：二级库入库
        "
"passed","Wed Feb 24 15:51:09 CST 2021","Wed Feb 24 15:51:09 CST 2021","0","testcase","test_case","Test_Cases","","","test_003",""
"skipped","Wed Feb 24 15:51:09 CST 2021","Wed Feb 24 15:51:09 CST 2021","1","testcase","test_case","Test_Cases","","","test_storeadd","
            用例：库房新增
        "
"passed","Wed Feb 24 15:51:09 CST 2021","Wed Feb 24 15:51:09 CST 2021","0","testcase","test_case","Test_Cases","","","test_001",""
"passed","Wed Feb 24 15:51:09 CST 2021","Wed Feb 24 15:51:09 CST 2021","0","testcase","test_case","Test_Cases","","","test_002",""
